epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.81809,1.4096,2.87552,1.75382,0.78598,0.66667,0.90277,0.59576,1.52285,1.24009,1.31724,0,0,0
2,5.69238,1.31973,2.709,1.54234,0.78307,0.66667,0.90367,0.6125,1.53971,1.23538,1.32235,1.17822e-06,1.17822e-06,1.17822e-06
3,8.71629,1.12247,3.32585,1.4657,0.7846,0.66667,0.90386,0.60425,1.55584,1.24097,1.33181,2.33288e-06,2.33288e-06,2.33288e-06
4,11.6399,1.35644,2.78534,1.48051,0.80209,0.68322,0.9268,0.63944,1.57792,1.24347,1.34224,3.46397e-06,3.46397e-06,3.46397e-06
5,14.4233,1.56829,3.25478,1.72606,0.78294,0.66667,0.89991,0.63683,1.59074,1.23985,1.34981,4.5715e-06,4.5715e-06,4.5715e-06
6,16.7824,1.78181,4.31542,2.09352,0.76951,0.66667,0.90053,0.59505,1.60019,1.25332,1.35545,5.65548e-06,5.65548e-06,5.65548e-06
7,19.7202,1.29871,2.23401,1.49918,0.77207,0.66667,0.90063,0.59469,1.61404,1.26005,1.36278,6.71588e-06,6.71588e-06,6.71588e-06
8,22.3871,1.46501,2.95572,1.70233,0.77265,0.66667,0.90084,0.59323,1.62565,1.2642,1.36985,7.75273e-06,7.75273e-06,7.75273e-06
9,24.9587,1.1616,2.87459,1.48357,0.75275,0.66667,0.9021,0.59381,1.63842,1.26501,1.37447,8.76602e-06,8.76602e-06,8.76602e-06
10,27.7926,1.39798,3.57649,1.81131,0.73519,0.66667,0.90315,0.57705,1.64185,1.28482,1.38116,9.75574e-06,9.75574e-06,9.75574e-06
11,30.5043,1.55392,3.14623,1.70448,0.66373,0.7579,0.93082,0.60498,1.65112,1.29461,1.3881,1.07219e-05,1.07219e-05,1.07219e-05
12,33.107,0.95403,1.90541,1.43022,0.6628,0.75778,0.93108,0.60219,1.67536,1.30201,1.39895,1.16645e-05,1.16645e-05,1.16645e-05
13,36.1383,1.13005,2.64675,1.35009,0.65739,0.75485,0.93091,0.60219,1.68496,1.3165,1.40296,1.25835e-05,1.25835e-05,1.25835e-05
14,39.0198,1.28096,2.79906,1.70417,0.66051,0.7468,0.93109,0.62165,1.68722,1.33613,1.40859,1.3479e-05,1.3479e-05,1.3479e-05
15,41.9222,0.87334,1.51506,1.13133,0.66574,0.74226,0.93149,0.62198,1.68988,1.35262,1.40875,1.43509e-05,1.43509e-05,1.43509e-05
16,45.3502,1.22551,2.77095,1.60245,0.59611,0.92598,0.93148,0.62228,1.70331,1.36942,1.41494,1.51993e-05,1.51993e-05,1.51993e-05
17,48.7634,0.88271,2.21352,1.20674,0.61072,0.91161,0.93128,0.62228,1.71558,1.38262,1.4179,1.60241e-05,1.60241e-05,1.60241e-05
18,52.0153,1.1749,1.84028,1.29637,0.61072,0.91161,0.93128,0.62228,1.71558,1.38262,1.4179,1.68253e-05,1.68253e-05,1.68253e-05
19,55.378,1.13026,2.08114,1.30381,0.61713,0.8715,0.92989,0.62189,1.75344,1.41247,1.43999,1.7603e-05,1.7603e-05,1.7603e-05
20,58.3195,0.9779,1.75641,1.31191,0.61713,0.8715,0.92989,0.62189,1.75344,1.41247,1.43999,1.83571e-05,1.83571e-05,1.83571e-05
21,60.9244,1.4202,2.66089,1.84803,0.63009,0.76667,0.93043,0.62195,1.76527,1.44986,1.44207,1.90876e-05,1.90876e-05,1.90876e-05
22,63.9918,1.33494,2.54496,1.69951,0.63009,0.76667,0.93043,0.62195,1.76527,1.44986,1.44207,1.97946e-05,1.97946e-05,1.97946e-05
23,66.5579,1.11579,2.1479,1.5333,0.64497,0.76667,0.93028,0.57642,1.78269,1.48695,1.45275,2.0478e-05,2.0478e-05,2.0478e-05
24,68.9193,1.29072,2.44133,1.6639,0.64497,0.76667,0.93028,0.57642,1.78269,1.48695,1.45275,2.11379e-05,2.11379e-05,2.11379e-05
25,72.2042,0.95047,1.71367,1.32218,0.64145,0.76667,0.80832,0.55976,1.79463,1.52366,1.45854,2.17741e-05,2.17741e-05,2.17741e-05
